car_ID,symboling,CompanyName,CarModel,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,price,city_L/100km,highway_L/100km
1,3,alfa-romero,giulia,alfa-romero giulia,gas,std,two,convertible,rwd,front,2.2504399999999998,4.28752,1.6281399999999997,1.23952,64.7192,dohc,four,2.130319859333341,mpfi,3.47,2.68,9.0,111,5000,13495.0,11.200666666666667,8.711629629629629
2,3,alfa-romero,stelvio,alfa-romero stelvio,gas,std,two,convertible,rwd,front,2.2504399999999998,4.28752,1.6281399999999997,1.23952,64.7192,dohc,four,2.130319859333341,mpfi,3.47,2.68,9.0,111,5000,16500.0,11.200666666666667,8.711629629629629
3,1,alfa-romero,Quadrifoglio,alfa-romero Quadrifoglio,gas,std,two,hatchback,rwd,front,2.4003,4.3484799999999995,1.6637,1.33096,71.7042,ohcv,six,2.4908355278359067,mpfi,2.68,3.47,9.0,154,5000,16500.0,12.379684210526316,9.046692307692307
4,2,audi,100,audi 100 ls,gas,std,four,sedan,fwd,front,2.5349199999999996,4.48564,1.68148,1.37922,59.3598,ohc,four,1.7861912666718014,mpfi,3.19,3.4,10.0,102,5500,13950.0,9.800583333333334,7.840466666666667
5,2,audi,100ls,audi 100ls,gas,std,four,sedan,4wd,front,2.52476,4.48564,1.68656,1.37922,71.72959999999999,ohc,five,2.228642314379495,mpfi,3.19,3.4,8.0,115,5500,17450.0,13.067444444444444,10.691545454545455
6,2,audi,fox,audi fox,gas,std,two,sedan,fwd,front,2.5349199999999996,4.50342,1.6840199999999999,1.34874,63.6778,ohc,five,2.228642314379495,mpfi,3.19,3.4,8.5,110,5500,15250.0,12.379684210526316,9.40856
7,1,audi,100ls,audi 100ls,gas,std,four,sedan,fwd,front,2.6873199999999997,4.8945799999999995,1.81356,1.41478,72.2376,ohc,five,2.228642314379495,mpfi,3.19,3.4,8.5,110,5500,17710.0,12.379684210526316,9.40856
8,1,audi,5000,audi 5000,gas,std,four,wagon,fwd,front,2.6873199999999997,4.8945799999999995,1.81356,1.41478,75.0316,ohc,five,2.228642314379495,mpfi,3.19,3.4,8.5,110,5500,18920.0,12.379684210526316,9.40856
9,1,audi,4000,audi 4000,gas,turbo,four,sedan,fwd,front,2.6873199999999997,4.8945799999999995,1.81356,1.41986,78.3844,ohc,five,2.146706935174367,mpfi,3.13,3.4,8.3,140,5500,23875.0,13.836117647058824,11.7607
10,0,audi,5000s,audi 5000s (diesel),gas,turbo,two,hatchback,4wd,front,2.5273,4.52628,1.72466,1.3208,77.5462,ohc,five,2.146706935174367,mpfi,3.13,3.4,7.0,160,5500,17859.167,14.700875,10.691545454545455
